datetime,open,high,low,close,volume,kline_status,raw_fractal,candidate_display,valid_fractal
2024-01-02,40.4,40.4,39.15,39.2,18035438.0,INITIAL,,,
2024-01-03,39.2,39.2,38.09,38.79,19950044.0,TREND_DOWN,,,
2024-01-08,38.71,38.71,37.91,38.3,15703121.0,TREND_DOWN_(M),BOTTOM,,
2024-01-09,38.35,39.05,38.0,38.96,15883764.0,TREND_UP,,Bc,
2024-01-10,38.77,39.51,38.55,39.04,11209869.0,TREND_UP,,,
2024-01-11,39.04,39.7,38.82,39.45,10691435.0,TREND_UP,TOP,,
2024-01-12,39.26,39.45,38.78,38.85,7534882.000000001,TREND_DOWN,,Tc,
2024-01-16,38.66,39.33,38.42,39.3,8734045.0,TREND_DOWN_(M),,,
2024-01-17,39.2,39.36,38.7,38.7,11461866.0,TREND_UP,TOP,,
2024-01-19,38.56,38.78,37.49,38.35,18417149.0,TREND_DOWN_(M),,Tc,
2024-01-22,38.2,38.5,37.4,37.66,16582898.0,TREND_DOWN,,,
2024-01-24,37.65,37.73,36.45,37.73,20616879.0,TREND_DOWN_(M),BOTTOM,,
2024-01-25,38.05,38.45,37.67,38.42,15954601.0,TREND_UP,TOP,Bc,
2024-01-26,38.25,38.36,37.41,37.86,15547475.0,TREND_DOWN,,Tc,
2024-01-29,37.75,37.93,36.85,36.85,11864341.0,TREND_DOWN,,,
2024-02-01,36.75,36.75,34.1,34.71,39312822.0,TREND_DOWN_(M),,,
2024-02-02,35.0,35.14,33.38,34.08,18842779.0,TREND_DOWN,,,
2024-02-05,34.48,34.79,32.93,34.38,25697515.0,TREND_DOWN,BOTTOM,,
2024-02-06,34.09,36.39,34.0,36.25,20745504.0,TREND_UP,,Bc,
2024-02-07,36.37,37.15,35.93,36.84,22644206.0,TREND_UP,,,
2024-02-08,36.98,37.82,36.78,37.55,19464765.0,TREND_UP,,,
2024-02-19,38.17,38.2,37.61,37.84,14451728.0,TREND_UP,,,
2024-02-20,38.3,38.35,37.76,38.27,13050437.0,TREND_UP,,,
2024-02-23,38.13,39.88,38.13,39.35,21237930.0,TREND_UP_(M),,,
2024-02-26,39.69,39.97,39.18,39.18,9773526.0,TREND_UP,TOP,,
2024-02-27,39.18,39.37,38.46,38.81,16726386.0,TREND_DOWN,,Tc,
2024-02-28,38.82,38.85,38.0,38.0,19057857.0,TREND_DOWN,,,
2024-02-29,37.98,38.35,37.83,38.35,17215143.0,TREND_DOWN,,,
2024-03-01,38.38,38.45,37.9,38.05,16337869.0,TREND_UP,TOP,,
2024-03-04,38.22,38.37,37.85,37.89,14547980.0,TREND_DOWN,,Tc,
2024-03-07,37.71,37.95,37.01,37.21,16572821.0,TREND_DOWN_(M),,,
2024-03-08,37.22,37.55,36.85,37.34,12237588.0,TREND_DOWN,BOTTOM,,
2024-03-11,37.34,38.15,37.2,38.07,16606649.0,TREND_UP,,Bc,
2024-03-12,38.14,39.27,37.92,39.21,23218818.0,TREND_UP,,,
2024-03-14,39.17,39.6,38.54,38.69,13800270.0,TREND_UP_(M),,,
2024-03-15,38.68,38.97,38.33,38.97,9428369.0,TREND_DOWN,BOTTOM,,
2024-03-20,39.08,39.23,38.6,39.23,12388016.0,TREND_UP_(M),,Bc,
2024-03-21,39.16,39.3,38.65,38.77,9021257.0,TREND_UP,TOP,,
2024-03-22,38.69,38.7,37.81,38.04,11903656.0,TREND_DOWN,,Tc,
2024-03-25,38.4,38.46,37.73,37.77,9748954.0,TREND_DOWN,,,
2024-03-26,38.11,38.23,37.68,37.94,9955463.0,TREND_DOWN,,,
2024-04-02,38.2,38.2,35.3,35.76,52748693.00000001,TREND_DOWN_(M),,,
2024-04-03,35.7,35.7,35.21,35.34,18115661.0,TREND_DOWN,,,
2024-04-08,35.36,35.38,34.68,34.84,18973366.0,TREND_DOWN,,,
2024-04-09,34.81,35.03,34.48,34.86,14140601.0,TREND_DOWN,,,
2024-04-10,34.87,34.9,34.15,34.43,17542237.0,TREND_DOWN,,,
2024-04-12,34.06,34.45,33.83,34.29,15610889.0,TREND_DOWN_(M),BOTTOM,,
2024-04-17,34.02,34.98,34.02,34.85,20938760.0,TREND_UP_(M),,Bc,
2024-04-18,34.72,35.2,34.42,34.9,20722418.0,TREND_UP,TOP,,
2024-04-19,34.75,34.92,34.36,34.4,20122478.0,TREND_DOWN,BOTTOM,Tc,
2024-04-24,34.49,35.98,34.49,35.09,30451835.0,TREND_UP_(M),,Bc,
2024-04-25,35.11,36.24,34.95,36.09,26005217.0,TREND_UP,,,
2024-04-26,35.92,36.38,35.85,36.34,27447495.0,TREND_UP,,,
2024-04-29,36.33,37.15,36.06,36.42,27489842.0,TREND_UP,TOP,,
2024-04-30,36.86,36.97,36.01,36.25,24172816.0,TREND_DOWN,BOTTOM,Tc,
2024-05-07,37.1,37.48,36.82,37.31,31034459.0,TREND_UP_(M),TOP,Bc,
2024-05-08,37.26,37.3,36.7,36.87,15523385.0,TREND_DOWN,BOTTOM,Tc,
2024-05-09,36.96,37.78,36.78,37.65,22416842.0,TREND_UP,,Bc,
2024-05-10,37.66,37.86,37.47,37.74,12512748.0,TREND_UP,TOP,,
2024-05-13,37.74,37.74,37.06,37.3,18866095.0,TREND_DOWN,,Tc,
2024-05-15,37.0,37.34,36.52,36.66,23201957.0,TREND_DOWN_(M),,,
2024-05-16,36.79,36.85,36.35,36.38,16383496.0,TREND_DOWN,BOTTOM,,
2024-05-17,36.44,38.0,36.38,37.96,35565671.0,TREND_UP,,Bc,
2024-05-20,38.1,38.88,37.79,38.29,24689850.0,TREND_UP,,,
2024-05-23,38.01,39.23,38.01,38.52,29837500.0,TREND_UP_(M),TOP,,
2024-05-27,38.33,38.42,37.8,38.0,15699966.0,TREND_DOWN_(M),,Tc,
2024-05-29,37.75,37.98,37.41,37.55,11073529.0,TREND_DOWN_(M),,,
2024-05-31,37.69,37.69,36.76,36.85,16010714.0,TREND_DOWN_(M),,,
2024-06-03,36.95,37.32,36.52,37.25,15020813.0,TREND_DOWN,BOTTOM,,
2024-06-04,37.27,37.75,37.0,37.62,12207386.0,TREND_UP,,Bc,
2024-06-07,37.6,38.2,37.33,37.86,9726578.0,TREND_UP_(M),TOP,,
2024-06-12,37.86,37.86,36.75,37.3,13281359.0,TREND_DOWN_(M),,Tc,
2024-06-13,37.3,37.47,36.26,36.5,12729765.0,TREND_DOWN,,,
2024-06-14,36.35,36.83,36.22,36.69,15452600.0,TREND_DOWN,,,
2024-06-18,36.4,36.69,36.08,36.13,11688537.0,TREND_DOWN_(M),,,
2024-06-19,36.2,36.45,36.0,36.38,8686014.0,TREND_DOWN,,,
2024-06-20,36.33,36.95,36.05,36.09,10228878.0,TREND_UP,TOP,,
2024-06-21,35.92,36.35,35.38,35.9,13920671.0,TREND_DOWN,,Tc,
2024-06-25,36.13,36.13,35.28,35.52,11616131.0,TREND_DOWN_(M),,,
2024-06-26,35.46,35.83,35.12,35.75,8849049.0,TREND_DOWN,,,
2024-06-27,35.8,36.04,35.22,35.22,8784267.0,TREND_UP,,,
2024-06-28,35.22,35.98,35.09,35.69,9687845.0,TREND_DOWN,,,
2024-07-02,35.38,35.38,34.52,34.9,11406125.0,TREND_DOWN_(M),,,
2024-07-03,34.91,35.05,34.41,34.42,10085891.0,TREND_DOWN,,,
2024-07-04,34.56,34.89,34.32,34.42,8909626.0,TREND_DOWN,,,
2024-07-08,34.42,34.53,33.93,34.42,12658402.0,TREND_DOWN_(M),BOTTOM,,
2024-07-09,34.47,34.72,33.96,34.65,11355047.0,TREND_UP,,Bc,
2024-07-10,34.56,35.19,34.49,34.85,12803805.0,TREND_UP,,,
2024-07-11,35.3,35.49,34.88,35.1,9285423.0,TREND_UP,TOP,,
2024-07-12,35.26,35.29,34.55,35.04,10023775.0,TREND_DOWN,,Tc,
2024-07-15,35.03,35.34,34.66,34.7,8663171.0,TREND_UP,,,
2024-07-16,34.53,34.87,34.31,34.72,8654450.0,TREND_DOWN,BOTTOM,,
2024-07-17,34.71,35.75,34.55,35.61,18135647.0,TREND_UP,,Bc,
2024-07-18,35.61,36.09,35.37,35.97,12976550.0,TREND_UP,,,
2024-07-23,35.92,36.63,35.65,35.65,11311257.0,TREND_UP_(M),TOP,,
2024-07-24,35.65,35.83,35.1,35.27,8481105.0,TREND_DOWN,,Tc,
2024-07-25,35.05,35.46,35.01,35.27,7586348.0,TREND_DOWN,,,
2024-07-26,35.27,35.45,34.88,34.96,9098770.0,TREND_DOWN,,,
2024-07-29,35.0,35.09,34.2,34.25,9918286.0,TREND_DOWN,,,
2024-07-30,34.2,34.2,33.46,33.77,12226841.0,TREND_DOWN,BOTTOM,,
2024-08-07,33.78,35.33,33.78,34.65,16477798.0,TREND_UP_(M),,Bc,
2024-08-09,34.66,35.55,34.66,34.91,10127313.0,TREND_UP_(M),TOP,,
2024-08-12,34.8,34.95,34.51,34.52,4519205.0,TREND_DOWN,,Tc,
2024-08-13,34.57,34.6,33.87,34.1,7790147.0,TREND_DOWN,,,
2024-08-14,34.08,34.09,33.56,33.75,6268100.0,TREND_DOWN,BOTTOM,,
2024-08-15,33.76,34.4,33.65,34.37,7807322.0,TREND_UP,,Bc,
2024-08-16,34.3,34.68,34.23,34.63,6438903.0,TREND_UP,,,
